"","Checking or savings account","Credit card or prepaid card","Credit reporting, credit repair services, or other personal consumer reports","Debt collection","Money transfer, virtual currency, or money service","Mortgage","Payday loan, title loan, or personal loan","Student loan","Vehicle loan or lease"
"dmm",1,0,0,3,0,0,0,0,0
"dmp",0,3,4,0,0,0,0,0,0
"dms",0,1,0,1,0,0,0,0,0
"dmv",15,6,44,53,3,1,33,1,150
"dmvs",0,1,3,0,0,0,0,0,0
"dna",3,4,0,1,0,0,0,0,0
"dnb",0,0,1,0,0,0,0,0,0
"dnc",0,0,1,9,0,0,0,0,3
"dncr",0,0,2,0,0,0,0,0,0
"dned",0,0,3,0,0,0,0,0,0
"dnever",0,0,3,0,0,0,0,0,0
"dnf",0,0,0,12,0,0,0,0,0
"dnhyvqz",0,1,0,0,0,0,0,0,0
"dnow",0,0,0,1,0,0,0,0,0
"dnp",0,0,0,1,0,0,0,0,0
"dnr",0,1,0,0,0,0,0,0,0
"dns",1,0,0,1,3,2,0,0,0
"dnsb",0,2,1,0,0,0,0,0,0
"dnt",5,1,0,0,0,0,2,1,2
"dntalliance",0,0,0,3,0,0,0,0,0
"dnv",0,0,0,1,0,0,0,0,0
"doa",0,1,0,0,0,0,0,0,0
"doable",0,0,0,4,1,5,2,2,1
"doansolutions",0,0,0,0,0,0,0,3,0
"doare",0,0,4,0,0,0,0,0,0
"dob",27,38,1165,410,20,9,0,3,1
"doberman",0,0,0,0,2,0,0,0,0
"dobled",0,0,0,0,0,1,0,0,0
"dobt",1,0,0,0,0,0,0,0,0
"dobxx",0,0,1,4,0,0,0,0,0
"dobxxxx",0,0,2,0,0,0,0,0,0
"dobxxxxxxxx",0,0,0,1,0,0,0,0,0
"doc",26,45,141,83,0,345,6,11,15
"doccument",0,0,1,0,0,0,0,0,0
"doceiments",0,0,1,0,0,0,0,0,0
"docementation",0,0,0,0,0,1,0,0,0
"docenmuehle",0,0,0,0,0,1,0,0,0
"docimention",0,0,0,1,0,0,0,0,0
"dock",2,1,13,4,0,3,0,0,0
"docket",1,2,108,193,0,60,2,1,0
"docment",0,0,0,0,0,3,0,0,0
"docments",0,0,0,2,0,1,0,0,1
"docmuments",0,0,3,0,0,0,0,0,0
"docmunets",0,0,0,0,0,0,1,0,0
"docp",0,0,0,1,0,0,0,0,0
"docs",0,4,2,6,0,20,0,0,0
"docsign",0,1,0,1,0,0,0,0,0
"doct",0,0,3,0,0,0,0,0,0
"doctor",37,86,179,533,2,27,18,9,22
"doctoral",0,0,0,0,0,0,0,2,0
"doctored",1,0,0,1,0,1,0,0,0
"doctrine",0,2,24,9,1,4,0,0,0
"doctuments",0,0,3,0,0,0,0,0,0
"docu",1,1,0,6,0,3,0,1,0
"docuements",0,0,2,0,0,0,0,0,0
"docuemnts",1,1,0,0,0,0,0,0,0
"docuemtations",0,0,0,0,0,0,0,1,0
"docuemtns",0,0,0,0,0,1,0,0,0
"docuimentation",0,0,0,1,0,0,0,0,0
"docum",0,0,3,0,0,0,0,0,0
"documant",0,0,0,1,0,0,0,0,0
"documantation",0,0,0,0,0,2,0,0,0
"documatation",0,0,0,0,0,1,0,0,0
"documation",0,0,0,0,0,1,0,0,0
"documations",1,0,0,0,0,0,0,0,0
"documats",0,0,2,0,0,0,0,0,0
"documen",0,1,0,0,0,0,0,0,0
"documenation",0,0,2,1,0,2,0,0,0
"documenentation",0,0,0,1,0,0,0,0,0
"documenetaion",0,0,1,0,0,0,0,0,0
"document",1125,2267,12792,4643,384,5956,484,572,655
"documentable",0,0,0,4,0,0,0,0,0
"documentaction",0,0,1,0,0,0,0,0,0
"documentaion",0,0,10,0,0,0,0,0,0
"documentarian",0,0,0,0,0,1,0,0,0
"documentarily",0,0,3,0,0,0,0,0,0
"documentary",2,22,24,4,0,12,0,0,0
"documentated",0,0,1,0,0,0,0,0,0
"documentation",541,1547,7281,2963,177,1599,112,354,278
"documentationand",1,0,0,0,0,0,0,0,0
"documentationed",0,0,0,0,0,0,1,0,0
"documentationto",0,0,0,10,0,0,0,0,0
"documentatuion",0,1,0,0,0,0,0,0,0
"documentdefendants",0,0,0,2,0,0,0,0,0
"documented",5,46,130,32,4,36,9,8,8
"documenting",0,1,1,0,0,1,0,1,0
"documention",0,3,6,4,4,1,0,0,2
"documentsxx",0,0,0,0,0,1,0,0,0
"documenttion",0,0,2,0,0,0,0,0,0
"documentwhether",0,0,0,9,0,0,0,0,0
"documentxx",2,0,0,0,0,0,0,0,0
"documet",1,0,0,0,0,0,0,0,0
"documetation",1,0,0,0,0,0,0,0,0
"documetns",0,0,0,1,0,0,0,0,0
"documets",0,0,3,0,0,0,0,1,0
"documingtation",0,0,0,0,0,1,0,0,0
"documnentation",0,0,0,0,0,1,0,0,0
"documnetation",0,1,0,0,0,0,0,0,0
"documnets",0,0,0,0,0,2,0,0,0
"docupload",0,1,0,0,0,0,0,0,0
"docuprep",0,0,0,0,0,0,0,1,0
"docusign",3,1,2,13,0,15,3,1,0
"docusigned",0,0,0,0,0,0,1,0,1
"docusigns",1,0,0,0,0,0,0,0,0
"docutation",0,0,0,1,0,0,0,0,0
"docutents",0,0,1,0,0,0,0,0,0
"docuuments",0,0,0,0,0,1,0,0,0
"docx",0,0,3,5,0,0,0,0,0
"docxtor",0,0,0,1,0,0,0,0,0
"dod",1,5,6,10,0,1,0,0,0
"dodd",7,9,70,22,6,50,3,2,3
"doddfrank",0,3,0,0,0,1,0,0,0
"dodge",1,8,15,10,2,4,1,2,4
"dodged",1,0,0,0,0,0,0,0,0
"dodging",0,2,4,0,0,0,0,0,0
"dodgy",0,1,0,0,0,0,0,0,0
"dodnt",0,0,0,0,0,0,1,0,0
"doe",5,8,131,13,0,14,2,42,0
"doea",0,0,0,0,0,0,0,0,1
"doeble",0,0,0,0,0,1,0,0,0
"doed",0,0,3,0,0,0,0,3,0
"doens",0,0,6,0,0,0,0,0,0
"doenst",0,0,0,0,0,1,0,0,0
"doerr",0,0,0,3,0,0,0,0,0
"doesnot",0,0,2,0,0,0,0,0,0
"doest",0,0,3,0,1,0,0,0,0
"dof",0,0,0,0,5,0,0,0,0
"dofd",0,0,75,10,0,0,0,0,0
"dofds",0,0,1,0,0,0,0,0,0
"dofe",0,0,0,0,0,0,0,1,0
"dofed",0,0,18,0,0,0,0,0,0
"doff",0,0,0,1,0,0,0,0,0
"dofl",0,0,2,0,0,0,0,0,0
"dog",25,37,14,37,62,15,10,1,6
"doh",0,0,0,0,0,0,0,4,0
"doi",0,0,0,1,0,0,0,0,0
"doin",2,0,0,2,0,2,0,0,0
"doings",1,3,26,0,1,5,2,0,0
"doint",0,0,0,1,0,0,0,0,0
"doits",0,0,4,0,0,0,0,0,0
"doj",1,8,14,12,2,27,1,1,1
"doket",0,0,1,0,0,0,0,0,0
"dol",0,29,1,8,0,1,0,0,0
"dola",0,0,58,3,0,0,0,0,0
"dolalrs",0,1,0,0,0,0,0,0,0
"dolar",0,1,0,0,0,0,0,0,0
"dolars",0,0,0,1,0,0,0,0,0
"dolex",0,0,0,0,1,0,0,0,0
"doll",3,1,0,1,2,0,0,0,0
"dollar",904,1226,1290,998,468,814,259,223,257
"dollards",1,0,0,0,0,0,0,0,0
"dollarloan",0,0,0,0,0,0,1,0,0
"dollarsand",0,0,0,1,0,0,0,0,0
"dollarse",0,1,0,0,0,0,0,0,0
"dollarsfollow",0,0,0,0,0,1,0,0,0
"dollarsof",1,0,0,0,0,0,0,0,0
"dollats",0,1,0,0,0,0,0,0,0
"dollers",3,0,0,0,1,1,0,0,0
"dolllars",1,0,0,0,0,0,0,0,0
"dollor",0,2,0,0,0,0,0,0,0
"dollors",0,1,1,0,0,0,0,0,0
"dolls",0,0,0,2,0,0,0,0,0
"dolp",0,0,36,0,0,0,0,0,0
"dolr",0,0,3,0,0,0,0,0,0
"dolt",0,0,0,0,1,0,0,0,0
"dom",0,0,0,0,1,0,0,0,0
"domain",3,12,12,5,6,2,0,0,0
"domaine",0,1,0,0,0,0,0,0,0
"domainindicator",1,0,0,0,0,0,0,0,0
"dome",1,0,0,1,0,2,0,0,2
"domerville",0,0,0,0,0,1,0,0,0
"domesctic",0,0,0,1,0,0,0,0,0
"domestic",17,26,10,20,20,13,0,0,0
"domestically",0,2,0,0,0,0,0,0,0
"domesticate",0,0,0,0,1,0,0,0,0
"domicile",4,0,13,41,1,0,0,0,4
"dominacin",1,0,0,0,0,0,0,0,0
"dominance",0,0,0,1,1,0,0,0,0
"dominant",0,1,0,0,0,1,1,1,0
"dominantmortgage",0,0,0,1,0,0,0,0,0
"dominate",0,3,0,0,0,0,0,0,0
"dominiately",1,0,0,0,0,0,0,0,0
"dominican",0,0,0,0,1,0,0,0,0
"dominion",0,0,4,0,0,0,0,0,0
"domino",4,4,8,0,0,8,0,0,2
"domma",0,0,1,0,0,0,0,0,0
"domt",0,0,0,0,1,0,0,0,0
"dona",1,0,0,0,0,0,0,0,0
"donald",2,4,4,2,0,4,0,0,0
"donate",15,6,5,5,10,5,0,0,2
"donation",11,17,3,6,47,2,1,0,0
"donaton",0,1,0,0,0,0,0,0,0
"donators",0,0,1,0,0,0,0,0,0
"donei",0,1,0,0,0,0,0,0,0
"dones",0,0,0,0,0,1,0,0,0
"doneso",0,1,0,0,0,0,0,0,0
"donis",0,0,3,0,0,0,0,0,0
"donkey",0,0,0,1,0,0,0,0,0
"dono",0,0,0,0,0,0,1,0,0
"donor",0,2,1,1,3,7,0,0,0
"donot",0,1,3,3,1,1,1,0,1
"donotcall",0,0,2,2,0,0,1,0,0
"donotreply",0,1,0,0,0,0,0,0,0
"donotreplyfha",0,0,0,0,0,1,0,0,0
"donovan",0,0,0,1,0,0,0,0,0
"donteven",0,0,0,0,0,0,0,1,0
"donts",0,1,0,0,0,0,0,0,0
"donw",0,1,0,0,0,0,0,0,0
"dony",1,0,0,0,0,0,0,0,0
"doo",0,0,1,0,0,0,0,0,0
"doodled",1,0,0,0,0,0,0,0,0
"dooing",0,0,0,1,0,0,0,0,0
"doom",1,2,0,0,0,5,0,2,0
"doonan",0,0,0,1,0,0,0,0,0
"door",78,158,74,212,22,145,23,11,49
"doorbell",0,1,0,8,0,0,2,0,2
"doorjamb",0,0,0,0,0,2,0,0,0
"doorknob",0,0,0,0,0,1,0,0,0
"doorman",0,1,0,0,0,0,0,0,0
"doormat",0,1,0,0,0,0,0,0,0
"doors",0,0,1,1,0,1,0,0,0
"doorstep",0,3,0,12,0,2,0,0,0
"doorway",0,0,2,1,0,0,0,0,0
"dope",0,0,0,1,0,2,0,0,2
"dor",6,0,2,0,0,1,1,0,0
"dora",0,0,0,0,0,3,0,0,0
"dorian",2,4,7,0,0,6,1,0,0
"dorking",1,0,0,0,0,0,0,0,0
"dorm",0,0,0,2,0,0,0,0,0
"dormancy",3,2,0,0,0,0,0,0,0
"dormant",47,15,9,1,2,3,0,0,1
"dormitory",0,0,2,0,0,0,0,0,0
"dory",0,1,0,0,0,0,0,0,0
"dos",0,0,0,3,0,0,0,0,0
"doscover",0,0,1,0,0,0,0,0,0
"dose",4,6,11,6,2,4,0,0,4
"dosent",0,0,6,1,1,0,1,1,0
"dosnt",0,2,0,0,0,0,0,0,0
"dossier",0,2,0,1,0,0,0,0,0
"dot",8,72,21,11,2,25,0,1,2
"dothe",0,0,1,0,0,0,0,0,0
"dothis",1,0,0,0,0,0,0,0,0
"dots",0,1,0,0,0,0,0,0,0
"dotted",0,0,0,0,0,1,1,0,0
"dotty",0,0,0,0,0,0,1,0,0
"dou",0,0,1,0,0,0,0,0,0
"doube",0,0,0,0,0,0,0,0,1
"double",97,403,399,217,35,340,76,85,94
"doublecash",0,11,0,0,0,0,0,0,0
"doublecheck",0,0,0,1,0,0,0,0,1
"doubled",1,1,4,1,0,0,0,1,0
"doubledown",0,0,1,0,0,0,0,0,0
"doublespeak",0,0,1,0,0,0,1,0,0
"doublewide",0,0,1,0,0,0,0,0,0
"doublle",0,0,0,1,0,0,0,0,0
"doubly",3,2,0,0,1,2,1,0,1
"doubt",63,83,2116,55,22,67,7,9,15
"doubtful",3,6,5,7,1,4,0,3,0
"doubtfull",0,0,0,0,0,1,0,0,0
"doubthow",0,0,1,0,0,0,0,0,0
"doubtless",0,1,0,0,0,1,0,0,0
"douc",0,0,0,1,0,0,0,0,0
"doucmentation",0,0,1,0,0,0,0,0,0
"doucments",0,0,2,0,0,0,0,0,0
"doucument",0,0,0,0,0,1,0,0,0
"doucumentation",0,1,0,0,0,0,0,0,0
"doucuments",0,0,2,0,0,1,0,0,0
"doucumets",0,0,1,0,0,0,0,0,0
"doudy",0,0,0,1,0,0,0,0,0
"dough",0,1,0,0,0,0,0,0,0
"doughty",0,0,0,3,0,0,0,0,0
"douglas",0,0,0,3,0,0,0,0,0
"dour",0,1,0,0,0,0,0,0,0
"dovemuehle",0,0,0,0,0,2,0,0,0
"doven",0,0,0,0,0,1,0,0,0
"dovenmeuehle",0,0,0,0,0,1,0,0,0
"dovenmeuhle",0,0,1,0,0,3,0,0,0
"dovenmuehl",0,0,0,0,0,2,0,0,0
"dovenmuehle",0,0,30,1,0,358,0,0,0
"dovenmuehles",0,0,1,0,0,4,0,0,0
"dovenmuele",0,0,0,0,0,11,0,0,0
"dovenmuelhe",0,0,0,0,0,1,0,0,0
"dovenmuelhle",0,0,0,0,0,1,0,0,0
"dovenmuhel",0,0,0,0,0,1,0,0,0
"dovenmuhele",0,0,1,0,0,0,0,0,0
"dovenmuhle",0,0,0,0,0,9,0,0,0
"dovenmule",0,0,0,0,0,3,0,0,0
"dovenmuuehle",0,0,0,0,0,1,0,0,0
"dovennmule",0,0,0,0,0,1,0,0,0
"dovulas",0,0,0,0,0,0,0,0,1
"dow",0,0,0,1,0,0,0,0,0
"dowingly",0,0,1,0,0,0,0,0,0
"dowler",0,0,0,1,0,0,0,0,0
"dowloaded",0,0,2,0,1,0,0,0,0
"dowloading",0,1,0,0,0,0,0,0,0
"dowm",0,0,0,0,0,0,0,0,1
"downed",0,1,1,0,0,0,0,0,0
"downer",0,0,0,0,0,1,0,0,0
"downfall",1,4,1,0,0,1,0,0,1
"downgrade",6,67,19,3,1,2,0,0,0
"downhill",0,3,0,0,2,8,0,0,3
"download",56,96,118,63,63,48,12,18,3
"downloadable",4,2,1,0,0,1,0,0,0
"downloaded",0,2,0,0,0,5,0,0,0
"downloading",0,0,0,0,0,1,0,0,0
"downloads",1,5,0,1,0,1,0,0,0
"downpayment",1,0,17,6,5,29,2,2,12
"downpaynent",0,0,0,0,0,0,0,0,1
"downplay",1,2,0,0,0,3,0,0,2
"downplaying",0,0,0,0,0,1,0,0,0
"downpour",0,1,3,0,0,0,0,0,0
"downright",8,12,11,12,3,5,0,2,0
"downs",0,1,0,0,0,0,0,0,0
"downshift",0,0,0,0,0,0,0,0,1
"downside",0,1,0,0,0,1,0,0,0
"downsize",0,1,6,0,0,3,1,1,1
"downspouts",0,0,0,0,0,1,0,0,0
"downstairs",2,1,2,7,1,3,0,1,0
"downstream",1,0,1,0,0,1,0,0,0
"downtime",0,0,1,0,0,0,0,0,0
"downtown",7,9,10,4,4,2,0,1,2
"downtrodden",1,0,1,0,0,0,0,0,0
"downturn",1,4,7,6,0,9,1,2,0
"downward",0,2,9,1,0,10,0,0,2
"downwards",0,0,3,0,0,0,0,0,0
"downxxxx",0,0,0,0,0,0,0,1,0
"doy",0,0,0,0,0,1,0,0,0
"doyinsolas",0,0,0,0,0,0,0,0,1
"doze",0,0,0,2,0,0,0,0,0
"dozen",39,82,109,46,29,94,8,7,11
"dozens",1,0,1,0,0,1,0,0,0
"dpa",0,0,2,0,0,10,0,0,0
"dpch",0,0,0,1,0,0,0,0,0
"dpeartment",0,0,2,0,0,0,0,0,0
"dpedxx",0,0,2,0,0,0,0,0,0
"dpedxxxx",0,0,56,0,0,0,0,0,0
"dpg",1,0,0,0,0,0,0,0,0
"dpl",0,0,5,0,0,0,0,0,0
"dpoa",0,0,0,0,0,2,0,0,0
"dpr",0,0,0,0,0,0,2,0,0
"dpst",1,0,0,0,0,0,0,0,0
"dpt",1,5,924,1,0,6,0,1,0
"dpte",0,0,1,0,0,0,0,0,0
"dpted",0,0,9,0,0,0,0,0,0
"dptednavi",0,0,1,0,0,0,0,0,0
"dptedxxxx",0,0,53,0,0,0,0,0,0
"dptxxxx",0,0,1,0,0,0,0,0,0
"dra",0,0,0,1,0,0,0,0,0
"draconian",3,2,2,0,1,1,1,1,0
"draft",209,133,306,116,27,448,127,53,52
"drafted",9,0,7,1,0,4,2,0,0
"drafter",0,4,0,0,0,1,0,0,0
"drafting",7,2,6,0,0,6,0,0,2
"drag",19,33,69,70,9,108,3,9,18
"dragging",0,0,0,0,0,3,0,0,1
"dragnet",0,0,0,1,0,0,0,0,0
"dragon",0,0,1,0,0,0,0,0,0
"drags",0,0,3,0,0,0,0,0,0
"drain",43,34,29,12,11,34,2,1,3
"drainage",0,4,0,1,0,5,0,0,0
"drained",0,0,0,0,0,0,0,0,1
"draining",0,0,0,0,1,1,0,0,0
"drainned",0,1,0,0,0,0,0,0,0
"drainpipe",0,0,0,1,0,0,0,0,0
"drama",2,2,6,2,0,4,1,0,3
"dramatic",3,10,10,2,0,5,0,1,1
"dramatically",4,27,63,17,2,17,4,3,7
"dramtically",0,0,0,0,0,1,0,0,0
"drank",0,0,0,0,0,0,1,0,0
"drape",0,1,0,0,0,0,0,0,0
"drastic",3,27,56,8,2,16,2,3,4
"drastically",2,57,138,23,2,29,6,13,10
"draw",118,51,69,33,21,146,25,4,7
"drawback",3,3,0,0,0,0,1,0,0
"drawed",0,1,0,0,0,0,0,0,0
"drawer",11,9,5,1,3,3,0,0,0
"drawing",0,2,0,1,0,2,1,0,0
"drawl",4,0,4,0,3,0,0,0,2
"drawls",0,0,4,0,0,0,0,0,0
"drawn",38,9,10,2,12,20,1,0,3
"draws",0,0,0,0,0,1,1,0,0
"drc",0,0,1,0,0,0,0,0,0
"drd",1,0,0,0,0,0,0,0,0
"drdc",0,0,0,0,0,1,0,0,0
"dre",1,0,0,3,1,1,0,0,0
"dread",0,1,0,0,0,3,0,2,0
"dreaded",1,1,2,0,0,0,0,0,0
"dreadful",1,2,1,0,1,5,0,1,0
"dreadlock",0,0,0,0,1,0,0,0,0
"dream",1,21,129,15,4,43,1,10,4
"dreams",0,0,0,0,0,1,0,0,0
"drectly",0,0,2,1,0,0,0,0,0
"dredge",0,0,0,0,0,0,0,0,1
"dregatory",0,0,1,0,0,0,0,0,0
"drench",0,1,0,0,0,0,0,0,0
"dress",8,24,16,1,21,1,1,1,0
"dressbarn",0,1,0,0,0,0,0,0,0
"dressed",2,0,0,1,0,0,0,0,0
"dresser",0,9,0,5,0,0,0,1,0
"dressing",0,0,0,0,0,0,0,2,0
"drew",7,0,3,0,0,1,0,0,0
"drexler",0,0,0,0,0,0,0,0,1
"drexxxx",0,0,0,0,1,0,0,0,0
"drg",0,0,0,1,0,0,0,0,0
"driectly",0,0,3,0,0,0,0,0,0
"dried",0,0,1,1,0,0,0,0,0
"drier",0,3,0,0,0,0,0,0,0
"drift",0,1,0,0,0,0,0,0,0
"drill",11,5,6,5,1,2,0,0,0
"drilling",4,0,0,0,0,0,0,0,0
"drink",15,32,12,7,0,0,0,2,2
"drinker",0,0,0,0,0,1,0,0,0
"drinking",1,1,4,0,0,1,0,0,0
"drip",0,0,0,2,0,2,0,0,0
"drivable",0,1,0,1,0,0,1,0,1
"drive",267,186,308,143,68,148,24,172,280
"driveable",0,1,0,0,0,0,0,0,1
"driveby",0,0,0,0,0,1,0,0,0
"drivebys",0,0,0,0,0,1,0,0,0
"driveit",0,0,1,0,0,0,0,0,0
"drivel",0,0,0,0,0,1,0,0,1
"driven",1,0,13,5,2,3,0,24,1
"drivepur",0,0,0,0,0,0,0,0,1
"driver",197,369,1693,262,79,40,51,13,88
"drivers",1,3,0,1,0,0,0,0,0
"driverslicenseforeign",0,0,2,0,0,0,0,0,0
"driverslicenseus",0,0,8,0,0,0,0,0,0
"drivethru",2,0,0,0,0,0,0,0,0
"drivetime",0,0,6,3,0,0,0,0,14
"drivetrain",0,0,0,0,0,0,0,0,1
"driveway",0,3,5,11,1,25,4,0,12
"driving",5,4,30,7,0,5,2,0,5
"drlled",1,0,0,0,0,0,0,0,0
"drone",1,1,1,0,0,0,1,0,0
"droop",1,0,1,0,0,0,0,0,0
"drop",157,685,3148,606,45,607,82,126,166
"dropbox",0,0,0,1,0,0,0,0,1
"dropdown",0,1,0,0,0,0,0,0,0
"dropdox",0,1,0,0,0,0,0,0,0
"drope",0,0,1,0,0,0,0,0,0
"droplet",0,1,0,0,0,0,0,0,0
"dropout",0,0,0,0,0,0,0,1,0
"dropp",1,0,0,0,0,0,0,0,0
"dropped",2,2,13,7,0,7,2,0,2
"droppedsignificantly",0,1,0,0,0,0,0,0,0
"dropping",0,2,9,3,0,1,0,0,1
"droppped",0,0,1,0,0,0,0,0,0
"droppping",0,0,2,0,0,0,0,0,0
"dropshipper",0,1,0,0,0,0,0,0,0
"drov",0,0,3,0,0,0,0,0,0
"drove",10,5,8,4,1,2,1,0,8
"drow",1,0,0,0,0,0,0,0,0
"droweded",0,0,0,0,1,0,0,0,0
"drown",1,5,10,2,0,2,0,3,2
"drowning",0,0,0,0,0,0,0,1,0
"drowsy",0,0,0,1,0,0,1,0,0
"drs",0,10,19,36,0,0,0,0,0
"drt",1,0,0,0,0,0,0,0,0
"dru",1,0,0,0,0,0,0,0,0
"drug",14,6,24,29,9,6,3,0,0
"drugstore",0,0,2,0,0,0,0,0,0
"drum",0,3,3,2,0,1,0,0,1
"drunk",0,1,13,3,0,0,0,0,5
"dry",4,20,12,7,5,10,3,2,9
"dryer",5,36,17,19,1,2,24,1,0
"drying",0,6,0,0,0,0,0,0,0
"drywall",0,0,0,5,0,3,0,0,0
"dsa",0,2,0,0,0,0,0,0,0
"dsame",0,0,0,1,0,0,0,0,0
"dsclosed",0,0,0,0,0,0,0,0,1
"dsclosure",1,0,0,0,0,0,0,0,0
"dscount",0,0,3,0,0,0,0,0,0
"dsfcattorneyrpts",0,0,0,1,0,0,0,0,0
"dshellpointloanhistory",0,0,0,0,0,1,0,0,0
"dshs",1,0,1,0,0,2,0,0,0
"dsibursement",0,0,0,0,0,0,0,1,0
"dsld",0,0,0,0,0,4,0,0,0
"dsls",0,0,0,0,0,2,0,0,0
"dsnb",0,113,58,12,0,0,0,0,0
"dsp",0,0,11,0,0,0,0,0,0
"dspxxxxver",0,0,1,0,0,0,0,0,0
"dsr",0,0,0,1,0,0,0,0,0
"dss",1,0,0,0,0,0,0,0,0
"dst",0,0,0,3,0,0,0,0,0
"dste",0,0,0,0,0,1,0,0,0
"dsting",0,0,0,1,0,0,0,0,0
"dsys",1,0,0,0,0,0,0,0,0
"dta",0,0,0,0,0,0,1,0,0
"dtaed",0,0,0,1,0,0,0,0,0
"dtd",0,0,2,1,0,16,0,0,1
"dte",0,0,1,0,0,0,0,0,0
"dtedpxxxx",0,0,1,0,0,0,0,0,0
"dtedxxxx",0,0,25,0,0,0,0,0,0
"dtedxxxxi",0,0,1,0,0,0,0,0,0
"dtepxxxx",0,0,1,0,0,0,0,0,0
"dthat",0,0,0,0,0,1,0,0,0
"dthe",0,0,1,0,0,0,0,0,0
"dthey",0,1,0,0,0,0,0,0,0
"dti",0,5,13,0,0,71,0,2,2
"dtill",0,1,0,0,0,0,0,0,0
"dtir",0,0,0,0,0,1,0,0,0
"dtlr",0,1,0,0,0,0,0,0,0
"dto",0,0,0,1,0,0,0,0,0
"dtpa",0,1,0,0,0,0,0,0,3
"dts",0,0,0,2,0,0,0,0,0
"dua",3,0,0,0,1,0,0,2,0
"duable",0,0,0,1,0,0,0,0,0
"duaghter",0,0,0,1,0,0,0,0,0
"dual",5,7,11,15,2,106,0,2,0
"dually",1,0,0,1,0,0,0,0,1
"dualtracking",0,0,0,0,0,1,0,0,0
"duane",0,0,0,2,0,0,0,0,0
"dub",0,0,3,1,0,0,0,0,0
"dubbed",0,0,0,0,0,1,0,0,0
"dubious",3,5,9,10,1,4,1,1,0
"duble",0,0,0,0,0,0,1,0,0
"dublicated",0,0,2,0,0,0,0,0,0
"duck",2,2,3,0,0,4,0,0,2
"duckie",1,0,0,0,0,0,0,0,0
"ducment",0,1,0,0,0,0,0,0,0
"duct",0,3,0,0,0,2,0,0,0
"ducting",0,1,0,0,0,0,0,0,0
"ductless",0,1,0,0,0,0,0,0,0
"ducts",0,1,0,0,0,0,0,0,0
"ductwork",0,1,0,0,0,0,0,0,0
"ducuments",0,0,1,0,0,0,0,0,0
"dud",1,1,0,1,0,0,0,0,0
"dude",6,1,1,3,4,1,0,0,1
"due",2224,7784,19148,5695,713,7448,1209,1590,2487
"dueing",0,0,1,0,0,0,0,0,0
"duel",0,1,0,0,0,1,0,0,0
"duely",1,0,0,0,0,0,0,0,0
"duenot",0,0,0,2,0,0,0,0,0
"dues",0,3,0,3,0,2,0,0,0
"duexx",0,1,0,1,0,1,0,0,0
"duff",0,1,0,0,0,0,0,0,0
"dug",1,1,0,1,0,0,0,1,0
"dugged",0,0,0,0,0,0,0,0,1
"duh",3,2,4,1,0,0,0,0,0
"duing",0,0,2,0,0,0,0,0,0
"dull",0,1,1,0,0,0,0,0,0
"dully",0,0,0,1,0,0,0,0,0
"dulplex",0,0,0,0,0,1,0,0,0
"duly",8,9,36,24,3,12,0,0,3
"dum",0,1,0,0,0,0,0,0,0
"dumb",3,0,8,3,3,6,0,2,0
"dumbbell",0,4,0,0,0,0,0,0,0
"dumbfound",6,7,13,1,0,7,1,0,2
"dumbfounded",0,1,0,0,1,1,0,0,0
"dumby",0,0,2,0,0,0,0,0,0
"dumfounded",0,1,0,0,0,0,0,0,0
"dummy",6,3,4,3,10,0,0,0,0
"dumont",0,0,0,1,0,0,0,0,0
"dump",7,12,38,14,1,4,1,0,5
"dumping",0,0,1,0,0,1,0,0,0
"dumpster",0,0,7,1,0,1,1,0,0
"dun",2,5,14,34,1,2,1,0,1
"dunce",0,0,0,0,0,1,0,0,0
"dunk",2,0,0,0,0,0,0,0,0
"dunlap",0,0,0,7,0,0,0,0,0
"dunning",0,1,13,36,0,1,1,0,1
"duns",1,1,0,0,0,0,0,0,0
"duo",1,0,1,0,0,1,0,0,0
"dupe",3,13,14,9,4,5,1,4,5
"duped",0,1,1,0,0,0,0,0,1
"duper",0,1,0,0,0,0,0,0,0
"dupicate",0,0,0,1,0,0,0,0,0
"dupilcated",0,0,2,0,0,0,0,0,0
"duplex",0,0,2,0,0,34,1,0,1
"duplicant",0,0,4,0,0,0,0,0,0
"duplicate",108,188,645,172,26,107,17,26,51
"duplicated",1,2,16,4,0,2,0,1,0
"duplication",0,4,22,2,1,3,0,0,0
"duplicative",2,2,2,1,1,5,0,0,0
"duplicator",0,1,0,0,0,0,0,0,0
"duplicitous",0,2,0,0,0,0,0,0,0
"duplicity",0,0,0,1,0,0,1,0,0
"dupped",0,0,0,0,0,1,0,0,0
"dur",0,0,0,1,1,2,0,0,0
"durability",0,1,0,0,0,0,0,0,0
"durable",13,4,0,0,0,0,0,0,1
"durango",0,0,0,1,0,0,0,0,0
"duration",15,31,72,20,2,61,8,11,19
"durational",0,0,0,0,0,1,0,0,0
"duress",38,20,47,43,0,29,5,4,4
"durgesh",0,0,0,0,1,0,0,0,0
"durham",0,0,2,10,0,0,0,0,0
"durig",0,1,0,0,0,0,0,0,0
"durim",0,0,0,0,0,1,0,0,0
"durin",0,1,0,0,0,0,0,0,0
"duringa",0,1,0,0,0,0,0,0,0
"durnig",1,0,0,0,0,0,0,0,0
"durning",0,1,3,0,0,3,1,1,0
"durres",0,0,0,1,0,0,0,0,0
"durring",1,0,2,1,0,0,0,0,0
"duscuss",0,0,0,1,0,0,0,0,0
